SchoolName, SchoolAbbrev, Year, Enrolled, City, State, Country, SDNRank, ResTuition, NonResTuition, AvgMCAT, AvgGPA, Type
Brody School of Medicine at East Carolina University,ecu,1974,80,Greenville,NC,USA,3,,,30.0,3.6,Allopathic
Boston University School of Medicine,bu,1848,168,Boston,MA,USA,3,50950,50950,,,Allopathic
Creighton University School of Medicine,creighton,1878,,Omaha,NE,USA,3,54512,54512,30.0,3.8,Allopathic
East Tennessee State University James H. Quillen College of Medicine,etsu-qcom,1974,72,Johnson City,TN,USA,3,31566,32776,28.7,3.7,Allopathic
Florida State University College of Medicine,fsu,2000,121,Tallahassee,FL,USA,3,28082,69024,28.0,3.6,Allopathic
George Washington University School of Medicine and Health Sciences,gwu,1824,178,Washington,DC,USA,3,55787,55787,30.0,3.7,Allopathic
Thomas Jefferson University Sidney Kimmel Medical College,jmc,1824,250,Philadelphia,PA,USA,3,53311,53311,,,Allopathic
Howard University College of Medicine,hucm,1868,,Washington,DC,USA,3,41215,41215,,,Allopathic
Indiana University School of Medicine,iusm,1903,345,Indianapolis,IN,USA,3,33349,53703,31.0,3.7,Allopathic
Loma Linda University School of Medicine,llu,1905,,Loma Linda,CA,USA,3,53276,53276,30.0,3.7,Allopathic
Louisiana State University Shreveport School of Medicine,lsu-shreveport,1969,115,Shreveport,LA,USA,3,20146,46881,29.0,3.7,Allopathic
McMaster University Michael G. DeGroote School of Medicine,mcmaster,1887,152,Hamilton,ON,Canada,3,27001,95945,,3.8,Allopathic
Medical College of Georgia at Augusta University,mcg,1828,,Augusta,GA,USA,3,27802,55606,31.3,3.7,Allopathic
Medical College of Wisconsin,mcw,1893,204,Milwaukee,WI,USA,3,50700,50700,31.9,3.7,Allopathic
Medical University of South Carolina College of Medicine,musc,1824,162,Charleston,SC,USA,3,35662,62126,31.5,3.7,Allopathic
Mercer University School of Medicine,musm,1982,97,Macon,GA,USA,3,41457,41457,28.0,3.7,Allopathic
Morehouse School of Medicine,msm,1975,68,Atlanta,GA,USA,3,44503,44503,27.0,3.5,Allopathic
Northern Ontario School of Medicine,nosm,2005,64,Sudbury,ON,Canada,3,20242,,,3.8,Allopathic
Oregon Health & Sciences University School of Medicine,ohsu-som,1887,132,Portland,OR,USA,3,39980,57972,31.2,3.6,Allopathic
Queen's University School of Medicine,qusm,1842,,Kingston,ON,Canada,3,,,,,Allopathic
